nome,nivel,inicio,fim,instituicao,pagamento
Jose Palazzo Moreira de Oliveira, PQ-1D, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Judith Kelner, PQ-1D, 01/03/2020, 29/02/2024, UFPE, Em folha de pagamento
Jugurta Rosa Montalvao Filho, PQ-2, 01/03/2019, 28/02/2022, UFS, Em folha de pagamento
Juliano Araujo Wickboldt, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Julio Cesar Sampaio do Prado Leite, PQ-1D, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Jurandy Gomes de Almeida Junior, PQ-2, 01/03/2018, 28/02/2021, UNIFESP, Suspenso
Jussara Marques de Almeida, PQ-1C, 01/03/2020, 29/02/2024, UFMG, Em folha de pagamento
Kelvin Lopes Dias, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Kleinner Silva Farias de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UNISINOS, Em folha de pagamento
Leandro Alves Neves, PQ-2, 01/03/2019, 28/02/2022, UNESP, Em folha de pagamento
Leandro Aparecido Villas, PQ-2, 01/03/2019, 28/02/2022, UNICAMP, Em folha de pagamento
Leandro Augusto Frata Fernandes, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Leandro Nunes de Castro Silva, PQ-2, 01/03/2019, 28/02/2022, MACKENZIE, Em folha de pagamento
Lehilton Lelis Chaves Pedrosa, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Leliane Nunes de Barros, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Leonardo Barbosa e Oliveira, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Leonardo Chaves Dutra da Rocha, PQ-2, 01/03/2019, 28/02/2022, UFSJ, Em folha de pagamento
Leonardo Gresta Paulino Murta, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Lisandro Zambenedetti Granville, PQ-1C, 01/03/2018, 28/02/2022, UFRGS, Em folha de pagamento
Lucia Maria de Assumpcao Drummond, PQ-1D, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Luciana Nedel, PQ-2, 01/03/2020, 28/02/2023, UFRGS, Em folha de pagamento
Luciana Salete Buriol, PQ-1D, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luciano da Fontoura Costa, PQ-1A, 01/03/2019, 29/02/2024, USP, Em folha de pagamento
Luciano Paschoal Gaspary, PQ-1D, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luciano Reboucas de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFBA, Em folha de pagamento
Luciano Silva, PQ-2, 01/03/2019, 28/02/2022, UFPR, Em folha de pagamento
Luerbio Faria, PQ-1D, 01/03/2019, 28/02/2023, UERJ, Em folha de pagamento
Luidi Gelabert Simonetti, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Luigi Carro, PQ-1A, 01/03/2018, 31/03/2023, UFRGS, Em folha de pagamento
Luis Carlos Erpen de Bona, PQ-2, 01/03/2020, 28/02/2023, UFPR, Em folha de pagamento
Luis da Cunha Lamb, PQ-1B, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luis Enrique Zarate Galvez, PQ-2, 01/03/2019, 28/02/2022, PUC Minas, Em folha de pagamento
Luis Fabricio Wanderley Goes, PQ-2, 01/03/2019, 28/02/2022, PUC Minas, Em folha de pagamento
Luis Gustavo Nonato, PQ-1C, 01/03/2018, 28/02/2022, USP, Em folha de pagamento
Luis Henrique Maciel Kosmalski Costa, PQ-1C, 01/03/2018, 28/02/2022, UFRJ, Em folha de pagamento
Luis Marti Orosa, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Luiz Chaimowicz, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Luiz Eduardo Soares de Oliveira, PQ-1D, 01/03/2019, 28/02/2023, UFPR, Em folha de pagamento
Luiz Fernando Bittencourt, PQ-1D, 01/03/2020, 29/02/2024, UNICAMP, Em folha de pagamento
Luiz Fernando Rust da Costa Carmo, PQ-2, 01/03/2019, 28/02/2022, INMETRO, Em folha de pagamento
Luiz Filipe Menezes Vieira, PQ-1D, 01/03/2019, 28/02/2023, UFMG, Em folha de pagamento
Luiz Gustavo Leao Fernandes, PQ-2, 01/03/2020, 28/02/2023, PUCRS, Em folha de pagamento
Luiz Marcos Garcia Goncalves, PQ-2, 01/03/2019, 28/02/2022, UFRN, Em folha de pagamento
Luiz Satoru Ochi, PQ-1C, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Luiza de Macedo Mourelle, PQ-1D, 01/03/2018, 28/02/2022, UERJ, Em folha de pagamento
Manoel Bezerra Campêlo Neto, PQ-2, 01/03/2020, 28/02/2023, UFC, Em folha de pagamento
Manuel Menezes de Oliveira Neto, PQ-1B, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Marcelo Bezerra d'Amorim, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Marcelo de Almeida Maia, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Marcelo Fantinato, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Marcelo Finger, PQ-1C, 01/03/2019, 28/02/2023, USP, Em folha de pagamento
Marcelo Goncalves Rubinstein, PQ-2, 01/03/2019, 28/02/2022, UERJ, Em folha de pagamento
Marcelo Henriques de Carvalho, PQ-1D, 01/03/2018, 28/02/2022, UFMS, Em folha de pagamento
Marcelo Lobosco, PQ-2, 01/03/2019, 28/02/2022, UFJF, Em folha de pagamento
Marcelo Zanchetta do Nascimento, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Marcia Helena Costa Fampa, PQ-2, 01/03/2020, 28/02/2023, UFRJ, Em folha de pagamento
Marcio Bastos Castro, PQ-2, 01/03/2018, 28/02/2021, UFSC, Em folha de pagamento
Marcio de Medeiros Ribeiro, PQ-2, 01/03/2019, 28/02/2022, UFAL, Em folha de pagamento
Marcio de Oliveira Barros, PQ-2, 01/03/2019, 28/02/2022, UNIRIO, Em folha de pagamento
Marcio Dorn, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Marcio Eduardo Delamaro, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Marcio Porto Basgalupp, PQ-2, 01/03/2020, 28/02/2023, UNIFESP, Em folha de pagamento
Marco Antonio Casanova, PQ-1B, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Marco Serpa Molinaro, PQ-2, 01/03/2018, 28/02/2021, PUC-Rio, Em folha de pagamento
Marco Tulio de Oliveira Valente, PQ-1D, 01/03/2020, 29/02/2024, UFMG, Em folha de pagamento
Marcos Andre Goncalves, PQ-1C, 01/03/2017, 28/02/2021, UFMG, Em folha de pagamento
Marcos Antonio Simplicio Junior, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Marcos Augusto Menezes Vieira, PQ-1D, 01/03/2020, 29/02/2024, UFMG, Em folha de pagamento
Marcos de Oliveira Lage Ferreira, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Marcos Goncalves Quiles, PQ-2, 01/03/2019, 28/02/2022, UNIFESP, Em folha de pagamento
Marcus Rolf Peter Ritt, PQ-2, 01/03/2020, 28/02/2023, UFRGS, Em folha de pagamento
Marcus Vinicius Soledade Poggi de Aragao, PQ-1C, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Maria Cecilia Calani Baranauskas, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Maria Cristina Ferreira de Oliveira, PQ-1C, 01/03/2018, 28/02/2022, USP, Em folha de pagamento
Maria do Carmo Nicoletti, PQ-2, 01/03/2019, 28/02/2022, UFSCAR, Em folha de pagamento
Maria Emilia Machado Telles Walter, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
Mario Antonio Ribeiro Dantas, PQ-2, 01/03/2019, 28/02/2022, UFJF, Em folha de pagamento
Mario Fernando Montenegro Campos, PQ-1B, 01/03/2018, 28/02/2022, UFMG, Em folha de pagamento
Mario Lemes Proenca Junior, PQ-2, 01/03/2020, 28/02/2023, UEL, Em folha de pagamento
Mario Roberto Folhadela Benevides, PQ-2, 01/03/2020, 28/02/2023, UFRJ, Em folha de pagamento
Marley Maria Bernardes Rebuzzi Vellasco, PQ-1C, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Marta Lima de Queiros Mattoso, PQ-1B, 01/03/2019, 28/02/2023, UFRJ, Em folha de pagamento
Mauricio Ayala Rincon, PQ-1D, 01/03/2018, 28/02/2022, UnB, Em folha de pagamento
Mauro Antonio Rincon, PQ-2, 01/03/2020, 28/02/2023, UFRJ, Em folha de pagamento
Mauro Sergio Pereira Fonseca, PQ-2, 01/03/2019, 28/02/2022, UTFPR, Em folha de pagamento
Michele Nogueira Lima, PQ-2, 01/03/2018, 28/02/2021, UFPR, Em folha de pagamento
Miguel Elias Mitre Campista, PQ-2, 01/03/2019, 28/02/2022, UFRJ, Em folha de pagamento
Mirella Moura Moro, PQ-2, 01/03/2020, 28/02/2023, UFMG, Em folha de pagamento
Mitre Costa Dourado, PQ-1D, 01/03/2017, 28/02/2021, UFRJ, Em folha de pagamento
Moacir Antonelli Ponti, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Mylene Christine Queiroz de Farias, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
Myriam Regattieri De Biase da Silva Delgado, PQ-2, 01/03/2018, 28/02/2021, UTFPR, Em folha de pagamento
Nabor das Chagas Mendonca, PQ-2, 01/03/2018, 28/02/2021, UNIFOR, Em folha de pagamento
Nadia Nedjah, PQ-1D, 01/03/2018, 28/02/2022, UERJ, Em folha de pagamento
Nalvo Franco de Almeida Junior, PQ-2, 01/03/2020, 28/02/2023, UFMS, Em folha de pagamento
Nelson Delfino d'avila Mascarenhas, PQ-1B, 01/03/2018, 28/02/2022, UFSCAR, Em folha de pagamento
Nelson Luis Saldanha da Fonseca, PQ-1A, 01/03/2020, 28/02/2025, UNICAMP, Em folha de pagamento
Nelson Maculan Filho, PQ-1A, 01/03/2020, 28/02/2025, UFRJ, Em folha de pagamento
Nelson Souto Rosa, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Nivio Ziviani, PQ-1A, 01/03/2017, 28/02/2022, UFMG, Em folha de pagamento
Nubia Rosa da Silva, PQ-2, 01/03/2019, 28/02/2022, UFG, Em folha de pagamento
Odemir Martinez Bruno, PQ-1C, 01/03/2019, 28/02/2023, USP, Em folha de pagamento
Olga Regina Pereira Bellon, PQ-1D, 01/03/2018, 31/03/2022, UFPR, Em folha de pagamento
Orlando Lee, PQ-2, 01/03/2019, 28/02/2022, UNICAMP, Em folha de pagamento
Otto Carlos Muniz Bandeira Duarte, PQ-1A, 01/03/2016, 28/02/2021, UFRJ, Em folha de pagamento
Paolo Rech, PQ-2, 01/03/2020, 28/02/2023, UFRGS, Em folha de pagamento
Patricia Duarte de Lima Machado, PQ-2, 01/03/2018, 28/02/2021, UFCG, Em folha de pagamento
Paulo Andre Vechiatto de Miranda, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Paulo Augusto Silva Veloso, PQ-SR, 01/03/2019, 29/02/2024, UFRJ, Em folha de pagamento
Paulo de Figueiredo Pires, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Paulo Henrique Monteiro Borba, PQ-1D, 01/03/2018, 28/02/2022, UFPE, Em folha de pagamento
Paulo Roberto Freire Cunha, PQ-SR, 01/03/2019, 29/02/2024, UFPE, Em folha de pagamento
Paulo Roberto Oliveira, PQ-1D, 01/03/2018, 28/02/2022, UFRJ, Em folha de pagamento
Paulo Romero Martins Maciel, PQ-1B, 01/03/2019, 28/02/2023, UFPE, Em folha de pagamento
Paulo Salgado Gomes de Mattos Neto, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Paulo Sergio Marques dos Santos, PQ-2, 01/03/2020, 28/02/2023, UFPI, Em folha de pagamento
Pedro Jussieu de Rezende, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Pedro Olmo Stancioli Vaz De Melo, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Pedro Paulo Balbi de Oliveira, PQ-2, 01/03/2020, 28/02/2023, MACKENZIE, Em folha de pagamento
Pedro Pedrosa Reboucas Filho, PQ-2, 01/03/2019, 28/02/2022, IFCE, Em folha de pagamento
Peter Sussner, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Philippe Olivier Alexandre Navaux, PQ-1B, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Rafael Augusto de Melo, PQ-2, 01/03/2018, 28/02/2021, UFBA, Em folha de pagamento
Rafael Crivellari Saliba Schouery, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Rafael Dueire Lins, PQ-1D, 01/03/2020, 29/02/2024, UFRPE, Em folha de pagamento
Rafael Ferreira Leite de Mello, PQ-2, 01/03/2019, 28/02/2022, UFRPE, Em folha de pagamento
Rafael Heitor Bordini, PQ-2, 01/03/2019, 28/02/2022, PUCRS, Em folha de pagamento
Rafael Prikladnicki, PQ-1D, 01/03/2019, 28/02/2023, PUCRS, Em folha de pagamento
Raphael Carlos Santos Machado, PQ-1D, 01/03/2019, 28/02/2023, INMETRO, Em folha de pagamento
Raquel Aparecida de Freitas Mini, PQ-2, 01/03/2019, 28/02/2022, PUC Minas, Em folha de pagamento
Regina Maria Maciel Braga, PQ-2, 01/03/2020, 28/02/2023, UFJF, Em folha de pagamento
Renata Hax Sander Reiser, PQ-2, 01/03/2020, 28/02/2023, UFPEL, Em folha de pagamento
Renata Maria Cardoso Rodrigues de Souza, PQ-1D, 01/03/2019, 28/02/2023, UFPE, Em folha de pagamento
Renato Antonio Celso Ferreira, PQ-1D, 01/03/2018, 28/02/2022, UFMG, Em folha de pagamento
Renato Antonio Krohling, PQ-2, 01/03/2019, 28/02/2022, UFES, Em folha de pagamento
Renato Portugal, PQ-1D, 01/03/2020, 29/02/2024, LNCC, Em folha de pagamento
Renato Tinós, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Ricardo Bastos Cavalcante Prudencio, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Ricardo da Silva Torres, PQ-1C, 01/03/2017, 28/02/2021, UNICAMP, Suspenso
Ricardo Guerra Marroquim, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Suspenso
Ricardo Terra Nunes Bueno Villela, PQ-2, 01/03/2019, 28/02/2022, UFLA, Em folha de pagamento
Roberto Marcondes Cesar Junior, PQ-1A, 01/03/2020, 28/02/2025, USP, Em folha de pagamento
Roberto Souto Maior de Barros, PQ-2, 01/03/2020, 28/02/2023, UFPE, Em folha de pagamento
Rodolfo Ipolito Meneguette, PQ-2, 01/03/2019, 28/02/2022, IFSP, Em folha de pagamento
Rodolfo Jardim de Azevedo, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Rodrigo Coelho Barros, PQ-2, 01/03/2020, 28/02/2023, PUCRS, Em folha de pagamento
Rodrigo da Rosa Righi, PQ-2, 01/03/2019, 28/02/2022, UNISINOS, Em folha de pagamento
Rodrigo Fernandes de Mello, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Rodrigo Minetto, PQ-2, 01/03/2018, 31/07/2021, UTFPR, Em folha de pagamento
Rodrygo Luis Teodoro Santos, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Rohit Gheyi, PQ-2, 01/03/2020, 28/02/2023, UFCG, Em folha de pagamento
Rosa Maria Meri Leao, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Rosane Minghim, PQ-1D, 01/03/2017, 28/02/2021, USP, Em folha de pagamento
Roseli Aparecida Francelin Romero, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Rudini Menezes Sampaio, PQ-1D, 01/03/2019, 28/02/2023, UFC, Em folha de pagamento
Sabrina dos Santos Marczak, PQ-2, 01/03/2019, 28/02/2022, PUCRS, Em folha de pagamento
Sergio Castelo Branco Soares, PQ-2, 01/03/2020, 28/02/2023, UFPE, Em folha de pagamento
Sheila dos Santos Reinehr, PQ-2, 01/03/2019, 28/02/2022, PUC/PR, Em folha de pagamento
Siang Wun Song, PQ-SR, 01/03/2020, 31/03/2025, USP, Em folha de pagamento
Silvio Jamil Ferzoli Guimaraes, PQ-2, 01/03/2020, 28/02/2023, PUC Minas, Em folha de pagamento
Simone Dantas de Souza, PQ-1D, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Simone de Lima Martins, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Simone Diniz Junqueira Barbosa, PQ-2, 01/03/2019, 28/02/2022, PUC-Rio, Em folha de pagamento
Simone do Rocio Senger de Souza, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Solange Oliveira Rezende, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Soraia Raupp Musse, PQ-1D, 01/03/2017, 28/02/2021, PUCRS, Em folha de pagamento
Soraia Raupp Musse, PQ-1D, 01/03/2021, 28/02/2022, PUCRS, Em folha de pagamento
Sulamita Klein, PQ-1B, 01/03/2019, 28/02/2022, UFRJ, Em folha de pagamento
Teófilo Emidio de Campos, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
Teresa Bernarda Ludermir, PQ-1A, 01/03/2018, 28/02/2023, UFPE, Em folha de pagamento
Thais Vasconcelos Batista, PQ-1D, 01/03/2021, 28/02/2022, UFRN, Em folha de pagamento
Thais Vasconcelos Batista, PQ-1D, 01/03/2017, 28/02/2021, UFRN, Em folha de pagamento
Thiago Ferreira de Noronha, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Thibaut Victor Gaston Vidal, PQ-2, 01/03/2019, 28/02/2022, PUC-Rio, Em folha de pagamento
Tiago Agostinho de Almeida, PQ-2, 01/03/2018, 28/02/2021, UFSCAR, Em folha de pagamento
Tsang Ing Ren, PQ-2, 01/03/2020, 28/02/2023, UFPE, Em folha de pagamento
Ueverton dos Santos Souza, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Uira Kulesza, PQ-2, 01/03/2019, 28/02/2022, UFRN, Em folha de pagamento
Umberto Rivieccio, PQ-2, 01/03/2018, 28/02/2021, UFRN, Em folha de pagamento
Valeria Cesario Times, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Valmir Carneiro Barbosa, PQ-1A, 01/03/2020, 28/02/2025, UFRJ, Em folha de pagamento
Vander Ramos Alves, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
Vanessa Braganholo Murta, PQ-2, 01/03/2020, 28/02/2023, UFF, Em folha de pagamento
Vania Bogorny, PQ-2, 01/03/2018, 28/02/2021, UFSC, Em folha de pagamento
Victor Almeida Campos, PQ-2, 01/03/2019, 28/02/2022, UFC, Em folha de pagamento
Vinicius Fernandes dos Santos, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Virgilio Augusto Fernandes Almeida, PQ-1A, 01/03/2020, 28/02/2025, UFMG, Em folha de pagamento
Vivek Nigam, PQ-2, 01/03/2019, 28/02/2022, UFPB, Em folha de pagamento
Viviane Pereira Moreira, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Wagner Meira Junior, PQ-1B, 01/03/2017, 28/02/2021, UFMG, Em folha de pagamento
Wagner Meira Junior, PQ-1B, 01/03/2021, 28/02/2023, UFMG, Em folha de pagamento
Waldemar Celes Filho, PQ-2, 01/03/2020, 28/02/2023, PUC-Rio, Em folha de pagamento
Wesley Nunes Goncalves, PQ-2, 01/03/2020, 28/02/2023, UFMS, Em folha de pagamento
Weverton Luis da Costa Cordeiro, PQ-2, 01/03/2018, 28/02/2021, UFRGS, Em folha de pagamento
William Robson Schwartz, PQ-1D, 01/03/2020, 29/02/2024, UFMG, Em folha de pagamento
Wilson Rosa de Oliveira Junior, PQ-2, 01/03/2019, 28/02/2022, UFRPE, Em folha de pagamento
Wouter Caarls, PQ-2, 01/03/2019, 28/02/2022, PUC-Rio, Em folha de pagamento
Yoshiharu Kohayakawa, PQ-1A, 01/03/2019, 29/02/2024, USP, Em folha de pagamento
Yoshiko Wakabayashi, PQ-1A, 01/03/2017, 28/02/2022, USP, Em folha de pagamento
Yuri Abitbol de Menezes Frota, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Zanoni Dias, PQ-1D, 01/03/2019, 28/02/2023, UNICAMP, Em folha de pagamento
Zhao Liang, PQ-1C, 01/03/2020, 29/02/2024, USP, Em folha de pagamento